COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Oman,OMN,EMRO,REPORTING,2022-10-25,7108547,3279632,139,64,3048826,60,,2020-12-29,,779859,15
Pakistan,PAK,EMRO,REPORTING,2023-11-14,340974144,165567890,154,75,140475871,64,,2021-02-03,,53152375,24
Philippines,PHL,WPRO,REPORTING,2023-03-19,189317158,82684774,173,75,78443972,72,,2021-03-01,,23811248,22
Palau,PLW,WPRO,REPORTING,2023-03-10,51032,20295,282,100,18278,100,,2021-01-03,,12885,71
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73,39,1776973,35,,2021-02-02,,336967,7
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692,195688,176,70,195688,70,,2021-01-18,,102317,36
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178,2852178,264,99,2852178,99,,,,1904822,66
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631,27041364,197,78,25433941,73,,2021-01-06,,16059326,46
Singapore,SGP,WPRO,REPORTING,2023-08-29,15302530,5287005,262,90,5248693,90,,2020-12-30,,4769158,82
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700,335796,89,49,254016,37,,2021-03-23,,27896,4
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630,3295630,29,19,2358365,13,,2021-04-01,,75881,
Thailand,THA,SEARO,REPORTING,2023-09-01,142635014,57666184,204,83,54196116,78,,2021-02-28,,32143431,46
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342,2203,470,100,2203,100,,2021-07-20,,968,72
Timor-Leste,TLS,SEARO,REPORTING,2023-11-22,2028798,886838,154,67,801759,61,,2021-04-07,,340201,26
Tonga,TON,WPRO,REPORTING,2023-06-30,204737,87375,194,83,77390,73,,2021-04-14,,38588,37
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783,9763,227,83,9505,81,,2021-04-13,,5745,49
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,266492149,90497674,274,93,85961564,88,,2021-03-08,,57975220,60
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430,176624,116,58,162250,53,,2021-06-02,,16556,5
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303,7150,154,64,6803,60,,2021-03-19,,3350,30
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130,191403,228,96,177954,90,,2021-04-18,,82268,41
